id,type,title,genre,description,published_at,content_rating,rating_value,rating_count,duration,keywords,directors,actors
tt0119396,Movie,Jackie Brown,"['Crime', 'Drama', 'Thriller']","A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the illegal arms dealer she works for, she must find a way to secure her future without getting killed.",1998-05-20,16,7.5,371748,154,"['flight attendant', 'bail bondsman', 'multiple perspectives', 'dark comedy', 'arms dealer']",['Quentin Tarantino'],"['Pam Grier', 'Samuel L. Jackson', 'Robert Forster']"
tt0099878,Movie,Jetsons: The Movie,"['Animation', 'Comedy', 'Family']",George Jetson is forced to uproot his family when Mr. Spacely promotes him to take charge of a new factory on a distant planet.,1990-07-06,AL,5.5,5656,82,"['robot servant', 'star died during filming', 'outer space', 'rap music', 'hoverboard']","['Joseph Barbera', 'William Hanna', 'Iwao Takamoto']","[""George O'Hanlon"", 'Penny Singleton', 'Mel Blanc']"
tt0097328,Movie,Family Business,"['Crime', 'Drama']","An ex professor offers Adam $1,000,000 to ""get"" some plasma from a high tech company's lab. Adam asks his criminal grandpa for help. Can they convince Adam's now honest dad to join?",1990-05-23,12,5.7,13681,110,"['three generations', 'generation gap', 'career criminal', 'scottish american', 'caper comedy']",['Sidney Lumet'],"['Sean Connery', 'Dustin Hoffman', 'Matthew Broderick']"
tt0116705,Movie,Jingle All the Way,"['Adventure', 'Comedy', 'Family']","A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out, and he must travel all over town and compete with everybody else in order to find one.",1996-12-12,AL,5.7,115720,89,"['christmas', 'postman', 'action figure', 'neighbor', 'parade']",['Brian Levant'],"['Arnold Schwarzenegger', 'Sinbad', 'Phil Hartman']"
tt2186933,Movie,Luv Shuv Tey Chicken Khurana,['Comedy'],A fugitive frantically looks for a much-coveted chicken curry recipe with which his family can reclaim their pride and wealth.,2012-11-02,Not Rated,6.6,4066,140,['family relationships'],['Sameer Sharma'],"['Kunal Kapoor', 'Huma Qureshi', 'Vinod Nagpal']"
tt2446980,Movie,Joy,"['Biography', 'Drama']","Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",2016-01-07,6,6.6,144338,124,"['female inventor', 'sales pitch', 'parking lot', 'female name in title', 'pennsylvania']",['David O. Russell'],"['Jennifer Lawrence', 'Robert De Niro', 'Bradley Cooper']"
tt0362165,Movie,Son of the Mask,"['Comedy', 'Family', 'Fantasy']","Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be.",2005-04-21,MG6,2.3,59075,94,"['mask', 'baby', 'party', 'museum', 'surrealism']",['Lawrence Guterman'],"['Jamie Kennedy', 'Traylor Howard', 'Alan Cumming']"
tt0120623,Movie,A Bug's Life,"['Animation', 'Adventure', 'Comedy']","A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",1999-02-11,AL,7.2,312365,95,"['ant', 'circus', 'anthropomorphic insect', 'grasshopper', 'outtakes during end credits']","['John Lasseter', 'Andrew Stanton']","['Kevin Spacey', 'David Foley', 'Julia Louis-Dreyfus']"
tt0099699,Movie,Green Card,"['Comedy', 'Drama', 'Romance']","A man wanting to stay in the US enters into a marriage of convenience, but it turns into more than that.",1991-04-19,AL,6.3,25706,107,"['marriage of convenience', 'fake marriage', 'love', 'greenhouse', 'green card']",['Peter Weir'],"['Gérard Depardieu', 'Andie MacDowell', 'Bebe Neuwirth']"
tt1322393,Movie,Faith of Our Fathers,['Drama'],Two men embark on a trip to the Vietnam Veterans Memorial guided by the letters their fathers wrote while serving in the war.,2015-07-01,PG-13,3.9,730,96,"['letter', 'faith', 'vietnam war', 'voice over letter', 'sergeant']",['Carey Scott'],"['David A.R. White', 'Kevin Downes', 'Stephen Baldwin']"
tt0099520,Movie,Everybody Wins,"['Drama', 'Mystery', 'Thriller']",Angela (Debra Winger) hires/lures a P.I. (Nick Nolte) to prove a convicted teenager is innocent of his uncle's murder.,1990-09-07,R,5.1,1348,97,"['nudity', 'female nudity', 'private detective', 'upskirt', 'panties']",['Karel Reisz'],"['Debra Winger', 'Nick Nolte', 'Will Patton']"
tt2545088,Movie,American Promise,['Documentary'],This intimate documentary follows the 12-year journey of two African-American families pursuing the promise of opportunity through the education of their sons.,2013-01-21,TV-PG,7.1,300,135,"['basketball', 'letter of rejection', 'journey', '5 year old', '9 year old']","['Joe Brewster', 'Michèle Stephenson']","['Idris Brewster', 'Joe Brewster', 'Miles Brewster']"
tt0491691,Movie,Sacred Stage: The Mariinsky Theater,['Documentary'],"Set against the backdrop of the magical White Nights Festival in St. Petersburg, Sacred Stage features the best in Russian symphonic music, ballet and opera at Russia's premier theater--the Mariinsky, also known as the Kirov.",2005-10-07,Not Rated,8.8,18,61,['opera'],['Joshua Waletzky'],"['Valery Gergiev', 'Yulia Makhalina', 'Richard Thomas']"
tt0099653,Movie,Ghost,"['Drama', 'Fantasy', 'Romance']","After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",1990-10-12,12,7.1,234009,127,"['love', 'death', 'pottery', 'new york city', 'stabbed with glass']",['Jerry Zucker'],"['Patrick Swayze', 'Demi Moore', 'Whoopi Goldberg']"
tt0318761,Movie,Thumbsucker,"['Comedy', 'Drama']",Justin throws himself and everyone around him into chaos when he attempts to break free from his addiction to his thumb.,2005-10-07,12,6.5,21937,96,"['kmart', 'teenager', 'toilet', 'cavity search', 'rectal exam']",['Mike Mills'],"['Lou Taylor Pucci', 'Tilda Swinton', ""Vincent D'Onofrio""]"
tt0089670,Movie,National Lampoon's European Vacation,"['Adventure', 'Comedy']",The Griswolds win a vacation tour across Europe where the usual havoc ensues.,1986-06-12,6,6.2,71252,95,"['american tourist', 'american abroad', 'vacation', 'tourist', 'paris france']",['Amy Heckerling'],"['Chevy Chase', ""Beverly D'Angelo"", 'Dana Hill']"
tt1605790,Movie,Zokkomon,"['Action', 'Adventure', 'Family']","An orphan is abused and abandoned, believed to be dead, and upon his return is first feared as a ghost, and then projected as a superhero.",2011-04-22,PG,4.1,454,109,"['non comic book superhero', 'character name as title', 'superhero', 'superhero action', 'one word title']",['Satyajit Bhatkal'],"['Darsheel Safary', 'Anupam Kher', 'Manjari Fadnnis']"
tt0097626,Movie,Johnny Handsome,"['Crime', 'Drama', 'Thriller']","After being double crossed and thrown in jail, a deformed gangster gets a new face and rehabilitation, but his desire for revenge looms.",1990-05-18,R,6.1,10910,94,"['plastic surgery', 'neo noir', 'character name as series title', 'nickname as series title', 'erotica']",['Walter Hill'],"['Mickey Rourke', 'Ellen Barkin', 'Elizabeth McGovern']"
tt1509276,Movie,The Wildest Dream,"['Documentary', 'Biography']","Uses astonishing visuals to tell the intersecting stories of George Mallory, the first man to attempt a summit of Mount Everest, and Conrad Anker, the mountaineer who finds Mallory's frozen remains 75 years later.",2010-08-06,PG,7.2,2713,94,"['summit', 'mountaineer', 'mount everest', 'cold', 'mountain climber']",['Anthony Geffen'],"['Conrad Anker', 'Susan Robertson', 'Robert Macfarlane']"
tt0303356,Movie,Biggie and Tupac,"['Documentary', 'Biography', 'Crime']","Documentary on the deaths of Tupac Shakur and Biggie Smalls and the East Coast/West Coast, hip-hop/rap rivalry that culminated in late 1996 and early 1997.",2003-10-30,12,6.7,5000,108,"['character names as title', 'east coast vs. west coast', 'east coast of the united states', 'west coast of the united states', 'united states of america']",['Nick Broomfield'],"['The Notorious B.I.G.', 'Tupac Shakur', 'Nick Broomfield']"
tt0367093,Movie,Starship Troopers 2: Hero of the Federation,"['Action', 'Adventure', 'Horror']","In the sequel to Paul Verhoeven's loved/reviled sci-fi film, a group of troopers taking refuge in an abandoned outpost after fighting alien bugs, failing to realize that more danger lays in wait.",2004-05-11,16,3.6,24308,88,"['cheating boyfriend', 'bare chested male', 'tough guy', 'hero', 'sole survivor']",['Phil Tippett'],"['Billy Brown', 'Richard Burgi', 'Kelly Carlson']"
tt0139668,Movie,True Crime,"['Crime', 'Drama', 'Mystery']",Can an over-the-hill journalist uncover the evidence that can prove a death row inmate's innocence just hours before his execution?,1999-05-06,16,6.6,38332,127,"['scene during end credits', '23 year old woman', 'mystery thriller', 'actor director producer', 'public execution']",['Clint Eastwood'],"['Clint Eastwood', 'Isaiah Washington', 'LisaGay Hamilton']"
tt0161081,Movie,What Lies Beneath,"['Drama', 'Horror', 'Mystery']",The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,2000-10-26,16,6.6,134963,130,"['hitchcockian', 'death by drowning', 'secret', 'ghost', 'panic']",['Robert Zemeckis'],"['Harrison Ford', 'Michelle Pfeiffer', 'Katharine Towne']"
tt0108517,Movie,Warlock: The Armageddon,"['Action', 'Fantasy', 'Horror']",An order of Druids train their children to battle an evil Warlock determined to unleash Satan upon the world by bringing a collection of five mystic rune stones together.,1993-09-24,16,5.4,6786,98,"['druid', 'warlock', 'pagan', 'paganism', 'witch']",['Anthony Hickox'],"['Julian Sands', 'Chris Young', 'Paula Marshall']"
tt1710469,Movie,Seasons of Gray,['Drama'],"Hated and betrayed by his brothers, Brady Gray is forced off the family ranch and must start a new life in Dallas. With a good job and a promising romance, better days seem to lay ahead until Brady is framed for a crime he doesn't...",,PG-13,6.2,221,90,['christian'],['Paul Stehlik Jr.'],"['Andrew Cheney', 'Megan Parker', 'Akron Watson']"
tt0328538,Movie,Thirteen,['Drama'],"A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend.",2004-03-04,16,6.8,96958,100,"['female frontal nudity', 'female nudity', 'oral sex', 'borderline personality disorder', 'coming of age']",['Catherine Hardwicke'],"['Evan Rachel Wood', 'Holly Hunter', 'Nikki Reed']"
