id,size,width,height,pixels,movie_year,red_pixels,green_pixels,blue_pixels,object detected
tt2400336,30303,300,439,131700,2012,8196241,8425404,11285706,"woman 0.067, man 0.027"
tt1222815,30352,300,445,133500,2012,5434880,7987670,8014212,animal 0.433
tt1990181,30393,300,445,133500,2012,6269490,9687932,10470418,"man 0.058, animal 0.033, man 0.028, animal 0.024, animal 0.021, animal 0.020, animal 0.019, woman 0.019, animal 0.017, man 0.012, man 0.012, animal 0.011, animal 0.011, woman 0.010, animal 0.007, animal 0.007, animal 0.007, animal 0.006, animal 0.006, instrument 0.005, instrument 0.004, man 0.003, animal 0.003"
tt1979172,30546,300,445,133500,2012,15639150,15630568,13122874,"animal 0.021, instrument 0.020, microphone 0.010, roses 0.007, animal 0.006, animal 0.004, roses 0.004, animal 0.003"
tt1605803,30588,300,444,133200,2012,14491867,16399123,21565154,"instrument 0.606, man 0.346, man 0.193, instrument 0.067, instrument 0.027, instrument 0.014, instrument 0.011, microphone 0.005, instrument 0.004, instrument 0.004, instrument 0.003"
tt1440129,30695,300,475,142500,2012,13774967,13170714,12066766,"man 0.409, shield 0.011, airplane 0.010, microphone 0.004"
tt1606389,30795,300,445,133500,2012,13876041,17106417,22301990,"woman 0.175, woman 0.114, woman 0.107, woman 0.007"
tt0811137,30835,300,448,134400,2012,15412898,21430344,27768281,"woman 0.233, woman 0.170, animal 0.101, weapon 0.020, weapon 0.013, weapon 0.013, weapon 0.008, weapon 0.008, weapon 0.006, weapon 0.005, weapon 0.004, weapon 0.004, weapon 0.004, weapon 0.004, weapon 0.004, shield 0.003, weapon 0.003"
tt1077368,30864,300,444,133200,2012,8205045,6277418,7112832,"man 0.338, woman 0.194, woman 0.082, woman 0.076, woman 0.066, woman 0.051, woman 0.033, woman 0.007, woman 0.006, woman 0.005, woman 0.005, microphone 0.005, woman 0.004, woman 0.004, microphone 0.003"
tt2120152,31107,300,444,133200,2012,15613704,18183118,19102750,"animal 0.234, microphone 0.104, man 0.086, animal 0.075, animal 0.055, shield 0.034, microphone 0.023, instrument 0.013, airplane 0.010, roses 0.005"
tt1918727,31208,300,439,131700,2012,25329340,25349019,23546438,"instrument 0.662, woman 0.485, woman 0.442, woman 0.201, man 0.125, woman 0.061, car 0.056, woman 0.018, car 0.016, car 0.012, car 0.010, woman 0.009, car 0.007, man 0.005, woman 0.005, car 0.005, car 0.005, car 0.004, airplane 0.004"
tt1327194,31247,300,463,138900,2012,13159307,15178581,18315674,"man 0.336, woman 0.228, woman 0.195, man 0.152, woman 0.003"
tt2106741,31297,300,420,126000,2012,8971148,9165274,9272276,"man 0.242, man 0.237, man 0.178, man 0.004, woman 0.003"
tt1646987,31306,300,445,133500,2012,12769916,13442634,13595398,"man 0.255, animal 0.215, car 0.213, instrument 0.081, animal 0.078, animal 0.061, animal 0.049, weapon 0.048, weapon 0.035, animal 0.021, weapon 0.015, animal 0.013, animal 0.010, weapon 0.008, animal 0.005, weapon 0.004"
tt1230215,31309,300,444,133200,2012,17553284,16762358,16419169,"car 0.511, woman 0.266, woman 0.217, man 0.138, woman 0.023, woman 0.010, car 0.009, shield 0.008, car 0.007, car 0.007, car 0.006, animal 0.005, microphone 0.004, shield 0.004, car 0.004, woman 0.004, man 0.004, car 0.003, car 0.003"
tt2178941,31351,300,429,128700,2012,6361221,9111070,8660329,"woman 0.541, man 0.031, weapon 0.011"
